,epochs,acc,val_acc,loss,val_loss
0,1,0.006501243449747562,0.02014218084514141,6.470578670501709,5.825161933898926
1,2,0.05405615270137787,0.10130331665277481,5.246327877044678,4.54250955581665
2,3,0.2093348503112793,0.27354857325553894,3.6817467212677,3.2065529823303223
3,4,0.4056154191493988,0.38929206132888794,2.4403939247131348,2.5404112339019775
4,5,0.5705294013023376,0.4699348211288452,1.621379017829895,2.2220041751861572
5,6,0.689002275466919,0.5148104429244995,1.1058738231658936,2.0805649757385254
6,7,0.7725859880447388,0.5389513969421387,0.7856600880622864,2.052171230316162
7,8,0.824492335319519,0.562574028968811,0.5944668054580688,2.0228796005249023
8,9,0.8538126945495605,0.5566498637199402,0.4834769368171692,2.1192100048065186
9,10,0.8781340718269348,0.5622778534889221,0.4091602861881256,2.267651081085205
10,11,0.8938561677932739,0.5807168483734131,0.34656405448913574,2.153337240219116
11,12,0.9063147306442261,0.5709419250488281,0.3136741518974304,2.3338403701782227
12,13,0.9133081436157227,0.5681279897689819,0.2869000732898712,2.35005259513855
